trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
239	sun_aunuadmjocsddsrl.jpg	592880.5903	592880.8760	592880.9072	592883.9263
240	sun_aiksqkpgryhzwevk.jpg	592884.1432	592884.5574	592884.5768	592887.5960
241	labelme_tyvaihcwznonioe.jpg	592887.8128	592888.0625	592888.1131	592891.1322
242	sun_arzpkkvcdvvswxnf.jpg	592891.3490	592891.7823	592891.7994	592894.8185
243	sun_aydtmlqdhvvmjvaq.jpg	592895.0354	592895.5185	592895.5691	592898.5883
244	sun_antscxbicizerfki.jpg	592898.8051	592899.3902	592899.4223	592902.4414
245	sun_aewpzjfotcutxost.jpg	592902.6582	592903.0702	592903.0919	592906.1110
246	labelme_albwvmqgrgwlxxx.jpg	592906.3279	592906.9027	592906.9451	592909.9642
247	sun_aiequdasdjeizszp.jpg	592910.1810	592911.5347	592911.5655	592914.5846
248	sun_annrglxxvocekqkh.jpg	592914.8014	592915.0684	592915.0850	592918.1041
249	sun_alkabxwdzpdmkuvo.jpg	592918.3210	592918.5985	592918.6212	592921.6403
250	sun_abetroyqyygtscdw.jpg	592921.8572	592922.1022	592922.1741	592925.1932
251	sun_ahqrrgokszxtlsyi.jpg	592925.4101	592925.6603	592925.7437	592928.7628
252	sun_afuskngoumwbljpz.jpg	592928.9797	592929.3901	592929.4133	592932.4325
253	sun_aeqdtdmvphproomc.jpg	592932.6493	592933.2147	592933.2498	592936.2689
254	sun_aowvammdqpmypflg.jpg	592936.4858	592937.0147	592937.0362	592940.0553
255	sun_aarrcygkwuzaeiuk.jpg	592940.2722	592940.6861	592940.7225	592943.7417
256	sun_ajcbalthjpmuyygk.jpg	592943.9585	592944.3665	592944.4089	592947.4280
257	sun_axvbhkthyolfaqez.jpg	592947.6448	592948.0542	592948.0952	592951.1143
258	sun_aiffeoqzngslhzfi.jpg	592951.3312	592951.6868	592951.7482	592954.7673
259	sun_aizrxrylbrdfhxez.jpg	592954.9841	592955.2588	592955.2844	592958.3035
260	sun_anzbjguxdgpobefx.jpg	592958.5204	592958.9908	592959.0541	592962.0732
261	sun_aufbguyyrccwwxuf.jpg	592962.2901	592962.8785	592962.9239	592965.9430
262	sun_aykqizkgpgmqzxbh.jpg	592966.1599	592966.5025	592966.5435	592969.5627
263	sun_aelpnoofufvvqqhf.jpg	592969.7795	592970.3265	592970.3466	592973.3658
264	sun_awmotvrngkanplxe.jpg	592973.5826	592974.2067	592974.2331	592977.2522
265	sun_akbyysnpwewzraii.jpg	592977.4691	592978.0613	592978.0863	592981.1054
266	sun_ajtqfkwqpektgwsv.jpg	592981.3222	592981.7186	592981.7392	592984.7584
267	sun_awmhkaergffvuksf.jpg	592984.9752	592985.6026	592985.6591	592988.6782
268	sun_axnnsaaqniecbwhm.jpg	592988.8951	592989.6305	592989.6790	592992.6981
269	sun_apunwgjjmfutuzff.jpg	592992.9150	592993.4708	592993.4988	592996.5179
270	labelme_aqzpndrsppatraq.jpg	592996.7348	592997.1667	592997.2185	593000.2376
271	sun_aisuhvwdvarrjlni.jpg	593000.4545	593001.3744	593001.4219	593004.4410
272	sun_augqzaedeyyzlqny.jpg	593004.6579	593004.9455	593004.9748	593007.9939
