image,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17,object_18,object_19,object_20,object_21,object_22,object_23,object_24
116_kitch,window,counter,cabinet,cutting board,knife,fruit,sink,stove,shelf,plate,kitchen utensil,clock,microwave,blender,fridge,table,bottle,glass,,,,,,
116_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,kitchen utensil,stove,,
117_bath,shelf,bathroom utensil,shower,shower curtain,window,toilet,toilet paper,sink,cup,toothbrush,,,,,,,,,,,,,,
117_bath_copy,bathtub,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,,,,,,,,
117_kitch,sink,trash bin,counter,stove,extractor hood,oven,washing machine,shelf,table,chair,bowl,fruit,,,,,,,,,,,,
117_kitch_copy,cabinet,glass door,shelf,fridge,kitchenette,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,,,,,,,
118_bath,toilet,sink,rug,mirror,cabinet,bathtub,,,,,,,,,,,,,,,,,,
118_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
118_kitch,counter,sink,window,plate,vase,flower,table,chair,plate,cutlery,fridge,,,,,,,,,,,,,
118_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,lamp,door,counter,oven,microwave,shelf,stove,,,
119_bath,door,sink,bathroom vanity,cabinet,mirror,cup,toothbrush,toothpaste,bin,shelf,bathroom utensil,toilet,toilet paper,toilet brush,rug,bidet,towel holder,towel,cabinet,shower,shower screen,shampoo bottle,,
119_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
119_kitch,window,sink,drainer,dish,soap,dishwasher,cabinet,fridge,counter,blender,toaster,stove,towel holder,towel,TV,table,chair,plate,cutlery,glass,bottle,,,
119_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,extractor hood,
120_bath,bathtub,shower,ceiling light,bathroom vanity,sink,cup,toothbrush,soap,mirror,towel holder,towel,window,shelf,bathroom utensil,toilet,,,,,,,,,
120_bath_copy,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,,,,,,
120_kitch,door,shelf,cup,kitchen utensil,light,counter,stove,extractor hood,oven,sink,drainer,knife,cabinet,bowl,fruit,table,chair,plate,,,,,,
120_kitch_copy,cabinet,glass door,basket,shelf,fridge,kitchenette,sink,bowl,fruit,plate,vegetable,vase,plant,chair,door,counter,oven,microwave,shelf,kitchen utensil,plant,stove,,
121_bath,toilet,cabinet,mirror,shower,,,,,,,,,,,,,,,,,,,,
121_bath_copy,bathtub,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,toilet,shelf,soap bottle,picture,window,,,,,,,,,,,
121_kitch,stove,pan,ladle,sink,,,,,,,,,,,,,,,,,,,,
121_kitch_copy,cabinet,glass door,shelf,kitchenette,chair,lamp,counter,oven,shelf,,,,,,,,,,,,,,,
