trial	image	fixation_flip_time	space_press_time	image_flip_time	image_stop_time
215	sun_awlmntruykfbsame.jpg	1394718.1794	1394718.4418	1394718.4508	1394721.4482
216	sun_avsajiwmqfxawdbz.jpg	1394721.6565	1394722.1980	1394722.2049	1394725.2025
217	sun_asppapsiuwmrsopu.jpg	1394725.4090	1394725.5897	1394725.6001	1394728.5976
218	sun_alyergctkjrpiwgr.jpg	1394728.8045	1394729.0583	1394729.0704	1394732.0679
219	sun_aaurzltrbxfksuhz.jpg	1394732.2759	1394732.4757	1394732.4850	1394735.4826
220	sun_awwembxtbzpnilay.jpg	1394735.6908	1394742.3016	1394742.3119	1394745.3092
221	sun_amkckbxigznghvip.jpg	1394745.5165	1394745.9017	1394745.9101	1394748.9083
222	sun_ahjvciulzdwyyshu.jpg	1394749.1177	1394749.2618	1394749.2698	1394752.2671
223	sun_adbqksnwuqqwdpxc.jpg	1394752.4738	1394752.7734	1394752.7803	1394755.7782
224	sun_ageomnacdflnblsi.jpg	1394755.9837	1394756.2378	1394756.2464	1394759.2441
225	sun_acjcdbqhletirjdl.jpg	1394759.4520	1394759.6619	1394759.6689	1394762.6669
226	sun_agctjiqflyqiupzx.jpg	1394762.8727	1394763.1018	1394763.1119	1394766.1093
227	sun_aasmevtpkslccptd.jpg	1394766.3166	1394766.6537	1394766.6663	1394769.6637
228	sun_abtdlltafvpypcff.jpg	1394769.8716	1394770.0858	1394770.0927	1394773.0905
229	sun_aicgqimzgcarglin.jpg	1394773.2962	1394773.5578	1394773.5645	1394776.5622
230	sun_angvzhbidnxzubxm.jpg	1394776.7680	1394777.4136	1394777.4265	1394780.4240
231	sun_awjcipnjtpkdqhfw.jpg	1394780.6321	1394781.2457	1394781.2526	1394784.2501
232	sun_agqborhpkvvwbvfl.jpg	1394784.4559	1394784.6616	1394784.6685	1394787.6660
233	sun_anbwfxayngoytjhx.jpg	1394787.8722	1394788.4378	1394788.4503	1394791.4478
