Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	12	1448.406	1873.412	425.006	1049.375	563.720	0.180	0.111	0.599	0.579
sub-025_task-EyeTracking_physio	12	1898.411	2165.086	266.675	1002.332	639.722	0.114	0.046	0.249	0.436
sub-025_task-EyeTracking_physio	12	2198.422	2390.092	191.670	1114.430	761.520	0.193	0.068	0.184	0.743
sub-025_task-EyeTracking_physio	12	2406.758	2598.431	191.673	1173.790	771.070	0.114	0.039	0.151	0.612
sub-025_task-EyeTracking_physio	12	2790.101	3006.775	216.674	1238.638	829.108	0.655	0.684	0.558	3.914
sub-025_task-EyeTracking_physio	13	-2101.553	-1868.213	233.340	1255.898	732.653	0.286	0.316	0.807	1.516
sub-025_task-EyeTracking_physio	13	-1843.213	-1226.534	616.679	1287.227	675.337	0.200	0.096	0.451	0.697
sub-025_task-EyeTracking_physio	13	-1209.868	223.495	1433.363	1284.550	713.002	0.224	0.230	0.661	1.138
sub-025_task-EyeTracking_physio	13	256.828	440.169	183.341	1427.150	860.268	0.158	0.083	0.262	0.717
sub-025_task-EyeTracking_physio	13	456.835	856.849	400.014	1537.855	854.715	0.156	0.064	0.275	0.640
sub-025_task-EyeTracking_physio	13	881.846	1240.182	358.336	1387.875	908.770	0.231	0.145	0.660	0.948
sub-025_task-EyeTracking_physio	13	1273.516	1481.859	208.343	1139.975	922.925	0.316	0.079	0.212	0.944
sub-025_task-EyeTracking_physio	13	1581.859	1848.533	266.674	1129.000	660.712	0.102	0.065	0.306	0.598
sub-025_task-EyeTracking_physio	13	1881.866	2073.534	191.668	1344.835	727.085	0.161	0.083	0.418	0.432
sub-025_task-EyeTracking_physio	13	2131.871	2373.545	241.674	1621.275	686.740	0.168	0.269	0.534	1.001
sub-025_task-EyeTracking_physio	13	2398.545	2856.888	458.343	1619.660	767.445	0.135	0.063	0.357	0.521
sub-025_task-EyeTracking_physio	13	2881.887	3006.889	125.002	1660.885	757.535	0.113	0.020	0.117	0.351
sub-025_task-EyeTracking_physio	14	-2818.139	-2543.135	275.004	1264.980	659.500	0.125	0.102	0.276	0.830
sub-025_task-EyeTracking_physio	14	-2409.799	-1943.121	466.678	1291.295	626.158	0.113	0.050	0.322	0.502
sub-025_task-EyeTracking_physio	14	-1918.121	-1218.108	700.013	1291.435	665.918	0.208	0.171	0.511	0.869
sub-025_task-EyeTracking_physio	14	-1201.440	-959.771	241.669	1287.565	713.460	0.165	0.060	0.255	0.572
sub-025_task-EyeTracking_physio	14	-868.098	-568.095	300.003	1267.062	725.058	0.160	0.086	0.321	0.792
sub-025_task-EyeTracking_physio	14	-543.090	281.925	825.015	1300.055	714.265	0.141	0.111	0.382	1.030
sub-025_task-EyeTracking_physio	14	298.592	498.594	200.002	1202.130	756.730	0.165	0.039	0.175	0.444
sub-025_task-EyeTracking_physio	14	531.931	815.270	283.339	1401.515	758.778	0.102	0.058	0.299	0.526
sub-025_task-EyeTracking_physio	14	856.936	1073.610	216.674	1420.948	597.268	0.100	0.031	0.245	0.249
sub-025_task-EyeTracking_physio	14	1106.943	1331.947	225.004	1069.235	609.315	0.115	0.044	0.394	0.299
