Var1,Var2,Var3,Var4,Var5,Var6
sun_anmlnygclbxbrdbw.jpg,sun_abeymlrfgckenfyk.jpg,right,left,0,bahtroom
sun_apkxzenqapsujocq.jpg,sun_acgyywnybuveqsro.jpg,right,left,0,bahtroom
sun_aqxypnffmypblepf.jpg,sun_aytqouzkmemucrhx.jpg,left,right,0,kitchen
sun_abtdlltafvpypcff.jpg,labelme_eyqkdhbapysbwbv.jpg,left,right,0,kitchen
sun_anydqmweocgeuwol.jpg,sun_amjwgeygszefftft.jpg,left,left,1,bahtroom
sun_atgzwnczaxwddrai.jpg,labelme_qeiiwfvopreljdg.jpg,right,right,1,kitchen
sun_afscqnhvouixrplg.jpg,sun_albrprbpkugpwgvp.jpg,right,left,0,bahtroom
sun_awhvlirgpcdffbsk.jpg,sun_abpdoqdjxnjnftrm.jpg,right,right,1,kitchen
sun_azckywjqzicxsgez.jpg,sun_adyvrenfhpsmfawq.jpg,left,left,1,bahtroom
sun_awwembxtbzpnilay.jpg,sun_azzwhxnibmsjapvf.jpg,right,right,1,kitchen
sun_akwvdhqsbtcesevi.jpg,sun_afqpfzmhhuegedtn.jpg,left,left,1,kitchen
sun_apdxoksqpmpghypf.jpg,sun_auticobqsbwgoppi.jpg,left,right,0,kitchen
sun_abruimnjlaxgqbze.jpg,sun_aajwineqhytafdfq.jpg,right,left,0,bahtroom
sun_aobtqmsjotgsxppu.jpg,sun_aarfiyshqohlwkmo.jpg,right,left,0,kitchen
sun_aaurzltrbxfksuhz.jpg,sun_asbleyoooqkgvzal.jpg,left,right,0,bahtroom
sun_ahbhthuvbhsokcnl.jpg,sun_aaofphpvkeqlhwgu.jpg,right,right,1,kitchen
sun_akzfjiqikzlwlbaq.jpg,sun_alelvvcrrhnpgexu.jpg,right,left,0,bahtroom
sun_amgkcbncvhsceeuq.jpg,sun_ayuaydjcuqxqnrlq.jpg,left,left,1,kitchen
sun_ajnzhggqkskokvyd.jpg,sun_acgilwmyulcwzknd.jpg,right,right,1,kitchen
sun_aapitsgbtktqubfy.jpg,sun_apgsqzfknyrvgzzl.jpg,right,right,1,bahtroom
sun_abjtwfukuwddzted.jpg,sun_amzteeoyleghnbmn.jpg,left,right,0,bahtroom
sun_ajlxdvfhywnxqswk.jpg,sun_advknbnlffvfgmih.jpg,left,left,1,bahtroom
sun_acwjdupvyjsugpay.jpg,sun_axgovunngrypgpvc.jpg,right,left,0,kitchen
sun_alkabxwdzpdmkuvo.jpg,sun_aaovjkimodzhjazj.jpg,right,right,1,bahtroom
sun_ageomnacdflnblsi.jpg,sun_abivdfzypgoaatlb.jpg,right,left,0,bahtroom
sun_amppupofnobgmmut.jpg,sun_aevqhbysjjdiuhsi.jpg,left,right,0,bahtroom
sun_ahmxuekfssakrqmm.jpg,sun_aaosapfuyeqaxzkj.jpg,right,left,0,kitchen
sun_ayqukzphzqiguvnc.jpg,sun_aaqhazmhbhefhakh.jpg,left,left,1,kitchen
