ObjectName1,ObjectName2,CommonSubstring
cistern crop,mirror crop, crop
cistern crop,oven crop,n crop
cistern crop,pendant lamp crop, crop
cistern crop,picture crop, crop
cistern crop,place mat crop, crop
cistern crop,plate crop, crop
cistern crop,radiator crop, crop
cistern crop,range crop, crop
cistern crop,refrigerator crop, crop
cistern crop,rug crop, crop
cistern crop,sconce crop, crop
cistern crop,shelf crop, crop
cistern crop,side table crop, crop
cistern crop,sink crop, crop
cistern crop,sofa crop, crop
cistern crop,stereo,ster
cistern crop,stool crop, crop
cistern crop,stove crop, crop
cistern crop,table crop, crop
cistern crop,telephone crop, crop
cistern crop,toaster,ster
cistern crop,toaster oven,ster
cistern crop,toilet crop, crop
cistern crop,towel crop, crop
cistern crop,trash can crop,n crop
cistern crop,utensils canister,ister
cistern crop,vase crop, crop
cistern crop,window crop, crop
clock,lock,lock
cloth,dishcloth,cloth
coaster,coasters,coaster
coaster,stereo,ster
coaster,toaster,oaster
coaster,toaster oven,oaster
coaster,toothpaste,aste
coaster,utensils canister,ster
coasters,stereo,ster
coasters,toaster,oaster
coasters,toaster oven,oaster
coasters,toothpaste,aste
coasters,utensils canister,ster
coffee cup,coffee cup crop,coffee cup
coffee cup,coffee maker,coffee 
coffee cup,coffee pot,coffee 
coffee cup,light troffer,offe
coffee cup crop,coffee maker,coffee 
coffee cup crop,coffee pot,coffee 
coffee cup crop,countertop crop,p crop
coffee cup crop,cushion crop, crop
coffee cup crop,dishwasher crop, crop
coffee cup crop,dog dish crop, crop
coffee cup crop,door crop, crop
coffee cup crop,flush mount light crop, crop
coffee cup crop,fork crop, crop
coffee cup crop,glass crop, crop
coffee cup crop,kettle crop, crop
coffee cup crop,light troffer,offe
coffee cup crop,microwave crop, crop
coffee cup crop,mirror crop, crop
coffee cup crop,oven crop, crop
coffee cup crop,pendant lamp crop,p crop
coffee cup crop,picture crop, crop
coffee cup crop,place mat crop, crop
coffee cup crop,plate crop, crop
coffee cup crop,radiator crop, crop
coffee cup crop,range crop, crop
coffee cup crop,refrigerator crop, crop
coffee cup crop,rug crop, crop
coffee cup crop,sconce crop, crop
coffee cup crop,shelf crop, crop
coffee cup crop,side table crop, crop
coffee cup crop,sink crop, crop
coffee cup crop,sofa crop, crop
coffee cup crop,stool crop, crop
coffee cup crop,stove crop, crop
coffee cup crop,table crop, crop
coffee cup crop,teacup set,cup 
coffee cup crop,telephone crop, crop
coffee cup crop,toilet crop, crop
coffee cup crop,towel crop, crop
coffee cup crop,trash can crop, crop
coffee cup crop,vase crop, crop
coffee cup crop,window crop, crop
coffee maker,coffee pot,coffee 
coffee maker,light troffer,offe
coffee maker,pepper shaker,aker
coffee maker,place mat,e ma
coffee maker,place mat crop,e ma
coffee maker,plate mat,e ma
coffee maker,shaker,aker
coffee maker,speaker,aker
coffee pot,light troffer,offe
coffee pot,plant pot, pot
containers,curtain,tain
containers,curtain rod,tain
containers,curtains,tain
containers,dish drainer,ainer
containers,shower curtain,tain
containers,strainer,ainer
corkscrew,forks,orks
corkscrew,shower screen,scre
counter,countertop,counter
counter,countertop crop,counter
counter,decanter,nter
counter,flush mount light,ount
counter,flush mount light crop,ount
counter,semi-flush mount light,ount
countertop,countertop crop,countertop
countertop,decanter,nter
countertop,flush mount light,ount
countertop,flush mount light crop,ount
countertop,semi-flush mount light,ount
countertop crop,cushion crop, crop
countertop crop,decanter,nter
countertop crop,dishwasher crop, crop
countertop crop,dog dish crop, crop
countertop crop,door crop, crop
countertop crop,flush mount light,ount
countertop crop,flush mount light crop, crop
countertop crop,fork crop, crop
countertop crop,glass crop, crop
countertop crop,kettle crop, crop
countertop crop,microwave crop, crop
countertop crop,mirror crop, crop
countertop crop,oven crop, crop
countertop crop,pendant lamp crop,p crop
countertop crop,picture crop, crop
countertop crop,place mat crop, crop
countertop crop,plate crop, crop
countertop crop,radiator crop, crop
countertop crop,range crop, crop
countertop crop,refrigerator crop, crop
countertop crop,rug crop, crop
countertop crop,sconce crop, crop
countertop crop,semi-flush mount light,ount
countertop crop,shelf crop, crop
countertop crop,side table crop, crop
countertop crop,sink crop, crop
