Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-133_task-EyeTracking_physio	11	2082.387	2274.058	191.671	1681.515	700.230	0.098	0.075	0.292	0.458
sub-133_task-EyeTracking_physio	11	2307.390	2482.396	175.006	1263.755	621.905	0.143	0.097	0.655	0.321
sub-133_task-EyeTracking_physio	11	2557.400	2690.737	133.337	1457.470	619.543	0.050	0.005	0.131	0.066
sub-133_task-EyeTracking_physio	11	2715.736	2832.403	116.667	1193.747	619.338	0.199	0.053	0.588	0.179
sub-133_task-EyeTracking_physio	11	2882.403	3007.411	125.008	1356.500	605.605	0.067	0.015	0.086	0.214
sub-133_task-EyeTracking_physio	12	-345.516	-220.516	125.000	1353.930	606.660	0.056	0.005	0.065	0.106
sub-133_task-EyeTracking_physio	12	-170.517	312.831	483.348	1277.972	712.550	0.070	0.020	0.215	0.255
sub-133_task-EyeTracking_physio	12	337.831	562.838	225.007	1338.275	731.035	0.071	0.026	0.133	0.395
sub-133_task-EyeTracking_physio	12	587.837	812.845	225.008	1432.000	850.505	0.106	0.043	0.303	0.364
sub-133_task-EyeTracking_physio	12	837.844	1112.851	275.007	1477.705	940.875	0.137	0.111	0.474	0.561
sub-133_task-EyeTracking_physio	12	1137.851	1346.193	208.342	1459.705	960.765	0.092	0.025	0.164	0.411
sub-133_task-EyeTracking_physio	12	1362.859	1596.196	233.337	1347.347	918.447	0.281	0.398	1.197	0.845
sub-133_task-EyeTracking_physio	12	1621.196	2029.538	408.342	1126.190	841.960	0.116	0.103	0.452	0.604
sub-133_task-EyeTracking_physio	12	2062.870	2162.872	100.002	1053.255	747.700	0.068	0.016	0.136	0.178
sub-133_task-EyeTracking_physio	12	2187.872	2562.884	375.012	1063.515	630.415	0.123	0.087	0.667	0.536
sub-133_task-EyeTracking_physio	12	2579.551	2812.893	233.342	1167.642	633.742	0.112	0.048	0.621	0.214
sub-133_task-EyeTracking_physio	12	2829.560	3004.559	174.999	1252.360	637.930	0.098	0.028	0.374	0.150
sub-133_task-EyeTracking_physio	13	-4234.852	-3976.515	258.337	1279.080	699.730	0.097	0.075	0.344	0.526
sub-133_task-EyeTracking_physio	13	-3959.849	-3484.840	475.009	1336.460	717.015	0.110	0.097	0.385	0.608
sub-133_task-EyeTracking_physio	13	-3476.507	-3126.497	350.010	1342.255	736.733	0.067	0.020	0.165	0.264
sub-133_task-EyeTracking_physio	13	-3101.497	-2826.492	275.005	1275.385	722.790	0.066	0.031	0.162	0.329
sub-133_task-EyeTracking_physio	13	-2793.154	-2609.818	183.336	1322.460	730.585	0.082	0.022	0.218	0.272
sub-133_task-EyeTracking_physio	13	-2593.151	-2326.480	266.671	1269.880	721.070	0.179	0.090	0.602	0.404
sub-133_task-EyeTracking_physio	13	-2309.813	-1776.465	533.348	1321.770	716.555	0.141	0.088	0.574	0.606
sub-133_task-EyeTracking_physio	13	-1759.800	-1543.126	216.674	1276.887	713.303	0.146	0.031	0.592	0.205
sub-133_task-EyeTracking_physio	13	-1518.126	-1309.787	208.339	1336.680	703.910	0.117	0.029	0.182	0.324
sub-133_task-EyeTracking_physio	13	-1284.787	-1093.118	191.669	1275.025	713.750	0.124	0.059	0.275	0.361
sub-133_task-EyeTracking_physio	13	-1068.116	-859.778	208.338	1351.660	709.430	0.120	0.045	0.381	0.392
sub-133_task-EyeTracking_physio	13	-843.112	-676.438	166.674	1285.818	723.345	0.238	0.161	0.613	0.561
sub-133_task-EyeTracking_physio	13	-609.772	-493.103	116.669	1832.027	1246.345	0.247	0.149	0.327	0.685
sub-133_task-EyeTracking_physio	13	-451.437	-201.429	250.008	1317.900	727.642	0.149	0.126	0.495	0.731
sub-133_task-EyeTracking_physio	13	-168.092	256.917	425.009	1272.175	716.400	0.173	0.062	0.270	0.635
sub-133_task-EyeTracking_physio	13	273.583	523.590	250.007	1309.915	724.460	0.143	0.100	0.544	0.488
sub-133_task-EyeTracking_physio	13	556.924	723.592	166.668	1447.758	734.717	0.134	0.046	0.354	0.305
sub-133_task-EyeTracking_physio	13	756.931	990.266	233.335	1579.260	769.778	0.082	0.062	0.316	0.405
sub-133_task-EyeTracking_physio	13	1140.273	1440.277	300.004	1555.438	883.195	0.148	0.118	0.644	0.745
sub-133_task-EyeTracking_physio	13	1456.944	1723.620	266.676	1484.795	897.905	0.131	0.088	0.461	0.544
sub-133_task-EyeTracking_physio	13	1748.619	2140.294	391.675	1416.940	957.860	0.102	0.041	0.272	0.813
sub-133_task-EyeTracking_physio	13	2156.961	2281.963	125.002	1405.270	983.995	0.146	0.052	0.146	0.639
sub-133_task-EyeTracking_physio	13	2331.964	2540.304	208.340	1132.875	732.835	0.101	0.064	0.303	0.534
sub-133_task-EyeTracking_physio	13	2573.637	2990.316	416.679	1053.100	705.277	0.068	0.050	0.233	0.344
sub-133_task-EyeTracking_physio	14	-1338.471	-388.448	950.023	1311.148	712.855	0.088	0.108	0.599	0.484
sub-133_task-EyeTracking_physio	14	-363.445	-171.775	191.670	1317.595	702.255	0.065	0.017	0.155	0.236
sub-133_task-EyeTracking_physio	14	-146.775	328.238	475.013	1278.915	703.695	0.110	0.070	0.357	0.574
sub-133_task-EyeTracking_physio	14	344.905	578.244	233.339	1390.735	742.730	0.153	0.107	0.562	0.535
sub-133_task-EyeTracking_physio	14	619.909	811.585	191.676	1500.895	803.580	0.056	0.016	0.195	0.236
sub-133_task-EyeTracking_physio	14	828.252	1111.590	283.338	1571.648	795.112	0.091	0.088	0.395	0.534
sub-133_task-EyeTracking_physio	14	1128.256	1344.931	216.675	1568.065	673.810	0.082	0.027	0.209	0.252
sub-133_task-EyeTracking_physio	14	1361.598	1611.603	250.005	1560.947	590.435	0.075	0.026	0.298	0.341
sub-133_task-EyeTracking_physio	14	1636.602	1828.274	191.672	1446.960	598.135	0.135	0.047	0.511	0.282
sub-133_task-EyeTracking_physio	14	1878.277	2111.609	233.332	1233.810	620.477	0.060	0.046	0.235	0.474
sub-133_task-EyeTracking_physio	14	2136.616	2361.619	225.003	1149.585	645.290	0.091	0.052	0.414	0.461
sub-133_task-EyeTracking_physio	14	2378.286	2594.959	216.673	1061.862	665.158	0.191	0.049	0.729	0.214
sub-133_task-EyeTracking_physio	14	2611.626	3003.302	391.676	1134.380	732.545	0.098	0.064	0.480	0.415
sub-133_task-EyeTracking_physio	15	-207.886	375.460	583.346	1290.807	727.555	0.103	0.057	0.435	0.415
sub-133_task-EyeTracking_physio	15	400.460	625.465	225.005	1334.835	763.455	0.083	0.029	0.335	0.319
sub-133_task-EyeTracking_physio	15	642.132	858.807	216.675	1438.950	763.908	0.111	0.033	0.423	0.191
sub-133_task-EyeTracking_physio	15	875.474	1158.812	283.338	1520.423	720.067	0.091	0.075	0.526	0.345
sub-133_task-EyeTracking_physio	15	1208.812	1425.486	216.674	1591.062	684.832	0.063	0.026	0.253	0.231
sub-133_task-EyeTracking_physio	15	1442.152	1858.829	416.677	1633.050	666.192	0.099	0.057	0.493	0.365
sub-133_task-EyeTracking_physio	15	1883.832	2125.501	241.669	1444.985	652.830	0.125	0.043	0.603	0.217
sub-133_task-EyeTracking_physio	15	2142.172	2275.509	133.337	1303.610	650.555	0.164	0.049	0.571	0.191
sub-133_task-EyeTracking_physio	15	2292.176	2642.182	350.006	1360.770	675.385	0.121	0.023	0.460	0.376
sub-133_task-EyeTracking_physio	15	2667.184	2858.853	191.669	1293.945	702.605	0.072	0.018	0.219	0.180
sub-133_task-EyeTracking_physio	15	2908.853	3008.858	100.005	1120.505	712.197	0.068	0.007	0.098	0.126
sub-133_task-EyeTracking_physio	16	-277.318	-85.649	191.669	1127.755	708.925	0.076	0.019	0.216	0.262
sub-133_task-EyeTracking_physio	16	-52.312	497.701	550.013	1313.707	703.200	0.109	0.078	0.544	0.485
sub-133_task-EyeTracking_physio	16	531.034	681.037	150.003	1415.148	726.432	0.069	0.025	0.334	0.216
sub-133_task-EyeTracking_physio	16	706.037	1197.716	491.679	1593.395	769.395	0.091	0.031	0.425	0.315
sub-133_task-EyeTracking_physio	16	1239.382	1447.723	208.341	1498.750	782.085	0.046	0.011	0.162	0.166
sub-133_task-EyeTracking_physio	16	1472.723	1681.063	208.340	1508.870	705.260	0.078	0.024	0.207	0.304
sub-133_task-EyeTracking_physio	16	1714.396	1931.067	216.671	1415.540	589.868	0.094	0.064	0.405	0.271
sub-133_task-EyeTracking_physio	16	1964.401	2206.075	241.674	1230.685	605.840	0.123	0.050	0.501	0.283
sub-133_task-EyeTracking_physio	16	2247.742	2447.748	200.006	1175.872	655.358	0.081	0.015	0.118	0.298
sub-133_task-EyeTracking_physio	16	2464.415	2831.100	366.685	1108.928	732.205	0.162	0.095	0.661	0.635
sub-133_task-EyeTracking_physio	16	2864.433	3006.093	141.660	1087.855	761.535	0.091	0.025	0.161	0.285
sub-133_task-EyeTracking_physio	17	-129.982	353.358	483.340	1291.383	729.860	0.152	0.110	0.438	0.769
sub-133_task-EyeTracking_physio	17	378.358	561.699	183.341	1331.895	762.705	0.089	0.022	0.203	0.308
sub-133_task-EyeTracking_physio	17	586.699	761.700	175.001	1448.855	756.770	0.088	0.051	0.286	0.454
sub-133_task-EyeTracking_physio	17	795.035	1086.708	291.673	1563.200	720.190	0.088	0.048	0.257	0.556
sub-133_task-EyeTracking_physio	17	1111.708	1411.712	300.004	1607.350	719.430	0.074	0.050	0.290	0.396
sub-133_task-EyeTracking_physio	17	1428.379	1620.052	191.673	1600.770	643.380	0.088	0.052	0.281	0.431
sub-133_task-EyeTracking_physio	17	1670.051	2036.728	366.677	1370.188	643.725	0.080	0.075	0.539	0.444
sub-133_task-EyeTracking_physio	17	2061.728	2261.730	200.002	1348.948	673.065	0.074	0.018	0.177	0.209
sub-133_task-EyeTracking_physio	17	2278.396	2528.405	250.009	1196.207	700.570	0.178	0.123	0.822	0.458
sub-133_task-EyeTracking_physio	17	2578.404	2861.742	283.338	1101.055	737.748	0.076	0.036	0.215	0.354
